"";"date";"price";"volume"
"755";"2009-12-30";7,947143;4637500
"756";"2009-12-31";7,87;5291300
"757";"2010-01-04";7,64;17239600
"758";"2010-01-05";7,358571;23753100
"759";"2010-01-06";7,617143;23290400
"760";"2010-01-07";7,485714;9955400
"761";"2010-01-08";7,614286;8180900
"762";"2010-01-11";7,604286;6783700
"763";"2010-01-12";7,481429;6330100
"764";"2010-01-13";7,708571;14422100
"765";"2010-01-14";7,284286;17685500
"766";"2010-01-15";7,278571;13031200
"767";"2010-01-19";7,314286;5302500
"768";"2010-01-20";7,32;9685200
"769";"2010-01-21";7,312857;8614900
"770";"2010-01-22";7,27;9395400
"771";"2010-01-25";7,018571;13791400
"772";"2010-01-26";7,135714;11343500
"773";"2010-01-27";7,281429;23347100
"774";"2010-01-28";9,005714;77352800
"775";"2010-01-29";8,892857;24604300
"776";"2010-02-01";8,718571;18914000
"777";"2010-02-02";8,835714;10242400
"778";"2010-02-03";8,85;8761200
"779";"2010-02-04";8,62;11026400
"780";"2010-02-05";8,691429;11099200
"781";"2010-02-08";8,7;9346400
"782";"2010-02-09";8,875714;8811600
"783";"2010-02-10";8,784286;5807900
"784";"2010-02-11";9,051429;7203700
"785";"2010-02-12";9,025714;8408400
"786";"2010-02-16";9,265714;9922500
"787";"2010-02-17";9,215714;8134000
"788";"2010-02-18";9,442857;8806000
"789";"2010-02-19";9,521429;8813000
"790";"2010-02-22";9,324286;35298200
"791";"2010-02-23";9,192857;13049400
"792";"2010-02-24";9,241429;12005700
"793";"2010-02-25";9,372857;10717700
"794";"2010-02-26";9,435714;8620500
"795";"2010-03-01";9,957143;12866700
"796";"2010-03-02";9,854286;11956700
"797";"2010-03-03";9,65;22049300
"798";"2010-03-04";9,715714;7063000
"799";"2010-03-05";9,664286;9117500
"800";"2010-03-08";9,811429;6064100
"801";"2010-03-09";9,991429;14179900
"802";"2010-03-10";10,182857;7744800
"803";"2010-03-11";10,17;8457400
"804";"2010-03-12";9,997143;9369500
"805";"2010-03-15";9,942857;7012600
"806";"2010-03-16";10,09;8498000
"807";"2010-03-17";10,131429;4390400
"808";"2010-03-18";10,077143;3593100
"809";"2010-03-19";10,064286;9905700
"810";"2010-03-22";10,412857;7216300
"811";"2010-03-23";10,422857;4979100
"812";"2010-03-24";10,338571;3399900
"813";"2010-03-25";10,505714;8349600
"814";"2010-03-26";10,614286;5427800
"815";"2010-03-29";10,557143;5602100
"816";"2010-03-30";10,722857;7662200
