"";"title";"Awards"
"457";"Reversal of Fortune";"1"
"458";"Cyrano de Bergerac";"1"
"459";"American Dream";"1"
"460";"Journey of Hope (Reise der Hoffnung)";"1"
"461";"Days of Waiting";"1"
"462";"Creature Comforts";"1"
"463";"The Lunch Date";"1"
"464";"Misery";"1"
"465";"Total Recall";"0 (1)"
"466";"Driving Miss Daisy";"4"
"467";"Glory";"3"
"468";"Born on the Fourth of July";"2"
"469";"My Left Foot";"2"
"470";"The Little Mermaid";"2"
"471";"Dead Poets Society";"1"
"472";"The Abyss";"1"
"473";"Indiana Jones and the Last Crusade";"1"
"474";"Henry V";"1"
"475";"The Johnstown Flood";"1"
"476";"Common Threads: Stories from the Quilt";"1"
"477";"Cinema Paradiso";"1"
"478";"Work Experience";"1"
"479";"Batman";"1"
"480";"Balance";"1"
"481";"Rain Man";"4"
"482";"Dangerous Liaisons";"3"
"483";"Who Framed Roger Rabbit";"3 (1)"
"484";"Mississippi Burning";"1"
"485";"Working Girl";"1"
"486";"The Accidental Tourist";"1"
"487";"A Fish Called Wanda";"1"
"488";"Pelle the Conqueror (Pelle erobreren)";"1"
"489";"The Accused";"1"
"490";"The Appointments of Dennis Jennings";"1"
"491";"Beetlejuice";"1"
"492";"Bird";"1"
"493";"Hôtel Terminus: The Life and Times of Klaus Barbie";"1"
"494";"The Milagro Beanfield War";"1"
"495";"Tin Toy";"1"
"496";"You Don't Have to Die";"1"
"497";"The Last Emperor";"9"
"498";"Moonstruck";"3"
"499";"The Untouchables";"1"
"500";"Babette's Feast (Babettes gæstebud)";"1"
"501";"Dirty Dancing";"1"
"502";"Harry and the Hendersons";"1"
"503";"Innerspace";"1"
"504";"The Man Who Planted Trees (L' Homme qui plantait des arbres)";"1"
"505";"Ray's Male Heterosexual Dance Hall";"1"
"506";"The Ten-Year Lunch";"1"
"507";"Wall Street";"1"
"508";"Young at Heart";"1"
"509";"RoboCop";"0 (1)"
"510";"Platoon";"4"
"511";"A Room with a View";"3"
"512";"Hannah and Her Sisters";"3"
"513";"Aliens";"2"
"514";"The Mission";"1"
"515";"Children of a Lesser God";"1"
"516";"The Color of Money";"1"
"517";"Top Gun";"1"
"518";"Round Midnight";"1"
"519";"Artie Shaw: Time Is All You've Got";"1"
"520";"The Assault (De Aanslag)";"1"
"521";"Down and Out in America";"1"
"522";"The Fly";"1"
"523";"A Greek Tragedy";"1"
"524";"Precious Images";"1"
"525";"Women – for America, for the World";"1"
"526";"Out of Africa";"7"
"527";"Witness";"2"
"528";"Cocoon";"2"
"529";"Prizzi's Honor";"1"
"530";"Back to the Future";"1"
"531";"Kiss of the Spider Woman";"1"
"532";"Ran";"1"
"533";"The Official Story (La Historia Oficial)";"1"
"534";"The Trip to Bountiful";"1"
"535";"White Nights";"1"
"536";"Anna & Bella";"1"
"537";"Broken Rainbow";"1"
"538";"Mask";"1"
"539";"Molly's Pilgrim";"1"
"540";"Witness to War: Dr. Charlie Clements";"1"
"541";"Amadeus";"8"
"542";"The Killing Fields";"3"
"543";"A Passage to India";"2"
"544";"Places in the Heart";"2"
"545";"Indiana Jones and the Temple of Doom";"1"
"546";"Charade";"1"
"547";"Dangerous Moves (La Diagonale du fou)";"1"
"548";"Purple Rain";"1"
"549";"The Stone Carvers";"1"
"550";"The Times of Harvey Milk";"1"
"551";"Up";"1"
"552";"The Woman in Red";"1"
"553";"The River";"0 (1)"
"554";"Terms of Endearment";"5"
"555";"The Right Stuff";"4"
"556";"Fanny & Alexander (Fanny och Alexander)";"4"
"557";"Tender Mercies";"2"
"558";"Yentl";"1"
"559";"Flashdance";"1"
"560";"Boys and Girls";"1"
"561";"Flamenco at 5:15";"1"
"562";"He Makes Me Feel Like Dancin'";"1"
"563";"Sundae in New York";"1"
"564";"The Year of Living Dangerously";"1"
"565";"Return of the Jedi";"0 (1)"
"566";"Gandhi";"8"
"567";"E.T.: The Extra-Terrestrial";"4"
"568";"An Officer and a Gentleman";"2"
"569";"Tootsie";"1"
"570";"Victor/Victoria";"1"
"571";"Sophie's Choice";"1"
"572";"Missing";"1"
"573";"If You Love This Planet";"1"
"574";"Just Another Missing Kid";"1"
"575";"A Shocking Accident";"1"
"576";"Tango";"1"
"577";"To Begin Again (Volver a empezar)";"1"
"578";"Quest for Fire";"1"
"579";"Chariots of Fire";"4"
"580";"Raiders of the Lost Ark";"4 (1)"
"581";"Reds";"3"
"582";"On Golden Pond";"3"
"583";"Arthur";"2"
"584";"An American Werewolf in London";"1"
"585";"Close Harmony";"1"
"586";"Crac";"1"
"587";"Genocide";"1"
"588";"Mephisto";"1"
"589";"Violet";"1"
"590";"Ordinary People";"4"
"591";"Tess";"3"
"592";"Raging Bull";"2"
"593";"Fame";"2"
"594";"Melvin and Howard";"2"
"595";"Coal Miner's Daughter";"1"
"596";"The Empire Strikes Back";"1 (1)"
"597";"The Dollar Bottom";"1"
"598";"The Fly (A Légy)";"1"
"599";"From Mao to Mozart: Isaac Stern in China";"1"
"600";"Karl Hess: Toward Liberty";"1"
"601";"Moscow Does Not Believe in Tears";"1"
"602";"Kramer vs. Kramer";"5"
"603";"All That Jazz";"4"
"604";"Apocalypse Now";"2"
"605";"Norma Rae";"2"
"606";"Breaking Away";"1"
"607";"Alien";"1"
"608";"Being There";"1"
"609";"A Little Romance";"1"
"610";"Best Boy";"1"
"611";"Board and Care";"1"
"612";"Every Child";"1"
"613";"Paul Robeson: Tribute to an Artist";"1"
"614";"The Tin Drum (Die Blechtrommel)";"1"
"615";"The Black Stallion";"0 (1)"
"616";"The Deer Hunter";"5"
"617";"Coming Home";"3"
"618";"Midnight Express";"2"
"619";"Heaven Can Wait";"1"
"620";"Days of Heaven";"1"
"621";"California Suite";"1"
"622";"The Buddy Holly Story";"1"
"623";"Death on the Nile";"1"
"624";"The Flight of the Gossamer Condor";"1"
"625";"Get Out Your Handkerchiefs (Préparez vos mouchoirs)";"1"
"626";"Scared Straight!";"1"
"627";"Special Delivery";"1"
"628";"Teenage Father";"1"
"629";"Thank God It's Friday";"1"
"630";"Superman";"0 (1)"
"631";"Annie Hall";"4"
"632";"Star Wars";"6 (1)"
"633";"Julia";"3"
"634";"Close Encounters of the Third Kind";"1 (1)"
"635";"The Goodbye Girl";"1"
"636";"A Little Night Music";"1"
"637";"Gravity Is My Enemy";"1"
"638";"I'll Find a Way";"1"
"639";"Madame Rosa (La Vie devant soi)";"1"
"640";"The Sand Castle (Le Château de sable)";"1"
